#,What is your Ethereum address? ,Which Aavegotchi ID would you like to receive your XP?,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID,Tags
yuexhddjrnfx4rzbl7yuexhddhq7ex4l,0xAA521710653CDAB5e9cE755e26c1aD73f8bCf14E,18650,completed,2024-04-28 00:22:46,,2024-04-28 00:23:28,9a877e4546,
2vrfldxdw46iy0tzv2vrfvjpsue8jnii,0xc89A3292Eb0a8396A2505deB6195AFA7f83A8A30,9673,completed,2024-04-26 21:43:07,,2024-04-26 21:44:03,937b70e6ef,
eolkb64435pfk867f5u0eolkb64t1krs,0xa9A0C84Fe5780d5a5C67cc14165b546F8eC6DCAb,16154,completed,2024-04-25 11:09:33,,2024-04-25 11:11:05,50ca451c3f,
d4p6zyub50n4brs369ud4p6zyr5jocbb,0x8B200F4c81c54d9014B4cDA3F16501069FA20Ab9,9349,completed,2024-04-24 20:30:07,,2024-04-24 20:32:18,5615d02d3e,
9jqn6m9pytrwa7md9jqn668oh3ftpj3z,0x1EA25519e4829Bf579a58F133C4bF31e7e6F7565,14285,completed,2024-04-24 17:33:14,,2024-04-24 17:33:51,4bd908ce88,
xlfmzkrtkj07o3hxtfq3m1xlfmzkwupr,0xd280B7814E8022a74e2b9A55fFe29bd886eaFD4b,6605,completed,2024-04-24 13:14:10,,2024-04-24 13:14:33,d6c9b572c0,
qa7xg059rq9u6q26ggsmqa7xg059f6fp,0xe48471e03b625C094cdF2d2Eb95abdC832816a4A,6605,completed,2024-04-24 13:11:17,,2024-04-24 13:13:54,d6c9b572c0,
6cagodlyzcik656nq5jn8m86cagodlt7,0xaC079748325c21c2FA5cc501e344576749a79E49,7885,completed,2024-04-24 10:59:32,,2024-04-24 10:59:45,bc0e13cdaa,
y5wbrc40p9p0pot7j6tjy5wbrc40lyf4,0xDe34393312C0C1e97e404d18A04580E9610e063C,7885,completed,2024-04-24 10:46:03,,2024-04-24 10:46:28,bc0e13cdaa,
m5dnkf5pjw3yy5epm5dnlubzr30cnusq,0x96Fe6681b5b8bE0C5d6e8EB690ADEc7Ecb0831C9,10321,completed,2024-04-24 08:15:15,,2024-04-24 08:16:36,d632d8f32a,
upx67oubvjqjlt7ysfup7qbgqcvvi3vx,0xa322f14c4e9628f5934420a6098a01e7c999e657,14339,completed,2024-04-24 06:39:50,,2024-04-24 06:42:19,ba916d4950,
uvp3lmplakjjm0sj4uvpqrxfxjyptc96,0x072B96cF92Aa03f453CcFb114A166D11f88A3414,6324,completed,2024-04-23 23:44:16,,2024-04-23 23:44:19,1123b9eaad,
psv8si5yvdkktt9etrp5psv8skwjxpc3,0xbE0D4d4b1E907040dcc1D547bb545BA36eb29b53,15120,completed,2024-04-23 23:03:43,,2024-04-23 23:03:53,ceb4c339f8,
uj5f0wuxddmmftuj5f4zrr714nml5c1z,0x319BfA1d4b7992E9721eAd7812030ec8A63B486d,15120,completed,2024-04-23 23:03:06,,2024-04-23 23:03:19,ceb4c339f8,
907vij982sd2v6mvb3907vijp0i5v4ii,0x2C6585573A857B500Ad22624eeF72560DCb301E8,4230,completed,2024-04-23 23:02:10,,2024-04-23 23:02:26,ceb4c339f8,
mqqqt1uwssbgeuumqqqnlaouu8r0w32u,0x88e5dd128e3203d64786112EA83c2482921d766a,4230,completed,2024-04-23 23:01:30,,2024-04-23 23:01:43,ceb4c339f8,
x5c3mije4k68czg4jisx5c3mi536v4f2,0xfb5348C2A75Ce1Af44a5fFdF15d812F44D57C00f,4230,completed,2024-04-23 23:00:55,,2024-04-23 23:01:09,ceb4c339f8,
ras9fbpmgjp9ar38an7ras9mx6qjmea7,0x1ACe127B971aFcc8eCbbF72CA512DC536755878B,8061,completed,2024-04-23 22:59:32,,2024-04-23 23:00:01,ceb4c339f8,
vbbgik2tqjzisuvcyfvbbgi911t63q09,0x713C19611fbe9f9cE8E6a0e0eD195f5621d6b8f5,8061,completed,2024-04-23 22:58:46,,2024-04-23 22:59:16,ceb4c339f8,
uv9yhvfga7pi6gczrmuv9yluhtm8ere7,0xd631d806D3f6168dF01a86BE0Ecb4608833EDB6a,8061,completed,2024-04-23 22:57:57,,2024-04-23 22:58:23,ceb4c339f8,
9ziko4fpef6g1l74h9ziko42fjl12989,0xdB698C81aBb749038a208036893e1B4Da0AeB6Df,8588,completed,2024-04-23 22:27:38,,2024-04-23 22:27:54,ceb4c339f8,
a8doiley2orcrniyih7a8doifjnnyi9j,0xB549c8D4F294D85aA55E4dd138f3b6f46cB1781D,8588,completed,2024-04-23 22:26:49,,2024-04-23 22:27:08,ceb4c339f8,
9w5eeptyi01g2l4l5kuy019w5eeptyxx,0x144198BBb6ba029499Ea601A801cd6e6e9dA0fcc,8588,completed,2024-04-23 22:22:56,,2024-04-23 22:26:12,ceb4c339f8,
zgthesjta1vnr2546pzgthesj8n260ki,0xd281F988242C900d67fF2aafABe683B8004Ee778,16635,completed,2024-04-23 20:59:44,,2024-04-23 21:00:27,3124e2e278,
40vmh949uobm3qkez740vmhv9lp5415a,0xc6F292c074E40094f1ef0Fe2C3CB8a2842E3fcaB,23421,completed,2024-04-23 20:42:14,,2024-04-23 20:43:40,0f6d397a75,
sxw5iyuh5nj2d9csewjjwsxsxw5iyuad,0x5088F6d7E2b4E8B7C8Ba275ca0182a5D5923B765,24048,completed,2024-04-23 20:41:12,,2024-04-23 20:51:05,bee5f5d244,
nia9dugflaba7o96nia9prpuqvp8t68u,0xf8A52A9d5E7E87dff2E815D3Ac3e4E7866e54e2E,17562,completed,2024-04-23 05:56:54,,2024-04-23 05:58:46,859d8a07ae,
ok2okt5dvu0qpw9a6qpa7t2dok27ancj,0x0F84a7761aC99dBa8270A3cB93a97661F0ebA7Be,15100,completed,2024-04-23 02:53:57,,2024-04-23 02:55:40,ee176ca735,
qlufj5bky0jqluf8c59ofb2jpe5lc8gq,0x619C0C0F7e3325C1801FAFD87d88D2bcBe68cC16,3152,completed,2024-04-22 21:01:52,,2024-04-22 21:02:15,ceb4c339f8,
aphra6xuuds02n9gmcnaphra6kpuhfkt,0x5fD2441C5e58246b72F9Dcf0ECAD19e5B508b3bE,3152,completed,2024-04-22 21:00:41,,2024-04-22 21:01:08,ceb4c339f8,
2bwgtcn99ufld2bkfmrue7xdc2ojkl6t,0x66B3E67F862688Dd2334373db4bfDA4A0dDF5c9b,3152,completed,2024-04-22 20:59:43,,2024-04-22 21:00:07,ceb4c339f8,
f85hq6vw31t9vanf85hnpiyuyw4dtpnj,0x09037754E6CdA9b5231899c99a43074a174fD65e,9338,completed,2024-04-22 20:57:05,,2024-04-22 20:57:35,ceb4c339f8,
l8oo1jc50usvsphl9bu4l8oo1jc54qcm,0xcA5e0a347BE74E6E10C35580F32582dc03C44C91,9338,completed,2024-04-22 20:56:21,,2024-04-22 20:56:34,ceb4c339f8,
